"ibraRegion","yearStart","yearEnd","epbcStatus","recordCount","speciesCount"
"Simpson Strzelecki Dunefields",1981,1985,"Critically Endangered",1,1
"Tiwi Cobourg",1981,1985,"Endangered",4,2
"Hampton",1981,1985,"Vulnerable",1,1
"Indian Tropical Islands",1981,1985,"Extinct",29,1
"Mitchell Grass Downs",1981,1985,"Endangered",4,3
"Mitchell Grass Downs",1981,1985,"Critically Endangered",1,1
"Mount Isa Inlier",1981,1985,"Endangered",1,1
"Mulga Lands",1981,1985,"Critically Endangered",1,1
"Nullarbor",1981,1985,"Vulnerable",2,1
"Coolgardie",1981,1985,"Critically Endangered",1,1
"Indian Tropical Islands",1981,1985,"Critically Endangered",2,2
"Ben Lomond",1991,1995,"Endangered",1,1
"South Eastern Highlands",1991,1995,"Extinct",1,1
"Northern Kimberley",1991,1995,"Endangered",2,1
"Arnhem Plateau",1996,2000,"Vulnerable",2,2
"Great Sandy Desert",1996,2000,"Endangered",1,1
"Great Sandy Desert",1996,2000,"Extinct",4,4
"MacDonnell Ranges",1996,2000,"Extinct",3,2
"Mitchell Grass Downs",1996,2000,"Extinct",4,1
"Wet Tropics",1996,2000,"Extinct",2,1
"Gibson Desert",1996,2000,"Extinct",4,1
"Great Victoria Desert",1996,2000,"Extinct",1,1
"Nullarbor",1996,2000,"Vulnerable",1,1
"Warren",1996,2000,"Critically Endangered",1,1
"South Eastern Highlands",1996,2000,"Conservation Dependent",2,2
"Southern Volcanic Plain",1996,2000,"Conservation Dependent",3,2
"MacDonnell Ranges",1996,2000,"Endangered",1,1
"Simpson Strzelecki Dunefields",1996,2000,"Critically Endangered",1,1
"Gascoyne",1996,2000,"Vulnerable",2,1
"Gascoyne",2011,2015,"Vulnerable",1,1
"Little Sandy Desert",2011,2015,"Critically Endangered",3,1
"Australian Alps",2011,2015,"Extinct",1,1
"Central Arnhem",2011,2015,"Endangered",2,2
"Kanmantoo",2016,2020,"Conservation Dependent",1,1
